RSSI,actual_cp,RF_cp,SVM_cp,3NN_cp,5NN_cp,7NN_cp,10NN_cp,15NN_cp
"[-80, -73, -67, -55, -72, -23]",B,E,E,E,E,E,E,E
"[-75, -48, -83, -54, -70, -56]",E,E,E,E,E,E,E,E
"[-64, -69, -64, -54, -72, -59]",E,E,E,E,E,E,E,E
"[-73, -63, -80, -61, -53, -58]",B,A,A,A,A,A,A,A
"[-61, -75, -78, -73, -81, -80]",C,D,D,D,D,D,D,D
"[-66, -52, -69, -61, -75, -62]",E,E,E,E,E,E,E,E
"[-66, -49, -68, -71, -64, -57]",E,D,E,E,E,E,E,E
"[-78, -74, -65, -53, -74, -54]",E,E,E,E,E,E,E,E
"[-75, -61, -73, -47, -70, -46]",E,E,E,E,E,E,E,E
"[-71, -63, -80, -51, -58, -56]",E,A,A,E,E,E,E,E
"[-81, -52, -68, -52, -60, -62]",E,E,E,E,E,E,E,E
"[-89, -78, -85, -62, -63, -61]",A,B,B,B,B,B,B,B
"[-81, -52, -68, -53, -60, -62]",E,E,E,E,E,E,E,E
"[-82, -67, -71, -61, -65, -47]",E,E,E,E,E,E,E,E
"[-70, -72, -86, -57, -49, -59]",A,A,A,A,A,A,A,A
"[-74, -70, -77, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-69, -62, -83, -53, -52, -68]",A,A,A,A,A,A,A,A
"[-64, -74, -64, -54, -73, -60]",E,E,E,E,E,E,E,E
"[-69, -67, -86, -54, -54, -68]",A,A,A,A,A,A,A,A
"[-77, -69, -78, -48, -57, -68]",A,A,A,A,A,A,A,A
"[-73, -65, -62, -66, -75, -60]",D,C,E,E,E,E,E,E
"[-67, -52, -73, -68, -62, -60]",E,D,E,E,E,E,E,E
"[-66, -49, -69, -65, -66, -57]",E,D,E,E,E,E,E,E
"[-69, -52, -75, -62, -85, -58]",E,E,C,C,C,C,C,C
"[-75, -66, -62, -66, -75, -60]",D,C,E,E,E,E,E,E
"[-61, -47, -66, -66, -89, -66]",E,C,C,C,C,C,C,C
"[-64, -74, -64, -54, -71, -60]",E,E,E,E,E,E,E,E
"[-78, -74, -65, -54, -74, -54]",E,E,E,E,E,E,E,E
"[-87, -73, -77, -60, -58, -59]",B,A,E,E,E,E,E,E
"[-73, -68, -72, -58, -73, -69]",E,E,E,E,E,E,E,E
