Shift_Point1,Shift_Point2,Toward_Point,Actual_Coord,RSSI,Best_Shift,Best_accuracy,Best_coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord,Shift,Accuracy,Coord
D,E,C,"[1.85, 1.7]","[-54, -66, -60, -78, -83, -68]",5,0.15,"(2.0, 1.7)",0,1.297,"(3.0, 2.3)",1,1.074,"(2.8, 2.2)",2,0.85,"(2.6, 2.1)",3,0.585,"(2.4, 1.9)",4,0.364,"(2.2, 1.8)",5,0.15,"(2.0, 1.7)",6,0.206,"(1.8, 1.5)",7,0.391,"(1.6, 1.4)",8,0.602,"(1.4, 1.3)",9,0.885,"(1.2, 1.1)"
B,E,A,"[3.2, 8.6]","[-85, -71, -78, -59, -57, -59]",1,0.894,"(2.8, 7.8)",0,0.922,"(3.0, 7.7)",1,0.894,"(2.8, 7.8)",2,0.922,"(2.6, 7.9)",3,0.943,"(2.4, 8.1)",4,1.077,"(2.2, 8.2)",5,1.237,"(2.0, 8.3)",6,1.404,"(1.8, 8.5)",7,1.6,"(1.6, 8.6)",8,1.803,"(1.4, 8.7)",9,2.022,"(1.2, 8.9)"
B,E,A,"[1.3, 6.9]","[-77, -72, -79, -46, -56, -67]",5,1.565,"(2.0, 8.3)",0,1.879,"(3.0, 7.7)",1,1.749,"(2.8, 7.8)",2,1.64,"(2.6, 7.9)",3,1.628,"(2.4, 8.1)",4,1.581,"(2.2, 8.2)",5,1.565,"(2.0, 8.3)",6,1.676,"(1.8, 8.5)",7,1.726,"(1.6, 8.6)",8,1.803,"(1.4, 8.7)",9,2.002,"(1.2, 8.9)"
B,D,E,"[3.8, 5.6]","[-75, -72, -67, -47, -67, -46]",4,0.6,"(3.8, 5.0)",0,0.781,"(4.3, 5.0)",1,0.721,"(4.2, 5.0)",2,0.671,"(4.1, 5.0)",3,0.608,"(3.9, 5.0)",4,0.6,"(3.8, 5.0)",5,0.608,"(3.7, 5.0)",6,0.671,"(3.5, 5.0)",7,0.721,"(3.4, 5.0)",8,0.781,"(3.3, 5.0)",9,0.922,"(3.1, 5.0)"
D,B,E,"[1.8, 3.2]","[-64, -80, -63, -56, -69, -60]",9,2.22,"(3.1, 5.0)",0,3.081,"(4.3, 5.0)",1,3,"(4.2, 5.0)",2,2.921,"(4.1, 5.0)",3,2.766,"(3.9, 5.0)",4,2.691,"(3.8, 5.0)",5,2.617,"(3.7, 5.0)",6,2.476,"(3.5, 5.0)",7,2.408,"(3.4, 5.0)",8,2.343,"(3.3, 5.0)",9,2.22,"(3.1, 5.0)"
A,B,E,"[3.2, 6.2]","[-76, -78, -74, -48, -63, -51]",6,0.224,"(3.0, 6.1)",0,1.513,"(3.0, 7.7)",1,1.217,"(3.0, 7.4)",2,0.922,"(3.0, 7.1)",3,0.728,"(3.0, 6.9)",4,0.447,"(3.0, 6.6)",5,0.224,"(3.0, 6.3)",6,0.224,"(3.0, 6.1)",7,0.447,"(3.0, 5.8)",8,0.728,"(3.0, 5.5)",9,0.922,"(3.0, 5.3)"
B,A,E,"[1.5, 7.6]","[-73, -71, -76, -54, -63, -58]",0,1.503,"(3.0, 7.7)",0,1.503,"(3.0, 7.7)",1,1.513,"(3.0, 7.4)",2,1.581,"(3.0, 7.1)",3,1.655,"(3.0, 6.9)",4,1.803,"(3.0, 6.6)",5,1.985,"(3.0, 6.3)",6,2.121,"(3.0, 6.1)",7,2.343,"(3.0, 5.8)",8,2.581,"(3.0, 5.5)",9,2.746,"(3.0, 5.3)"
E,C,D,"[2.2, 3]","[-67, -52, -70, -64, -73, -64]",0,1.063,"(3.0, 2.3)",0,1.063,"(3.0, 2.3)",1,1.281,"(3.2, 2.2)",2,1.5,"(3.4, 2.1)",3,1.78,"(3.6, 1.9)",4,2,"(3.8, 1.8)",5,2.22,"(4.0, 1.7)",6,2.5,"(4.2, 1.5)",7,2.72,"(4.4, 1.4)",8,2.941,"(4.6, 1.3)",9,3.22,"(4.8, 1.1)"
B,A,E,"[4.4, 6.5]","[-82, -68, -73, -61, -65, -51]",4,1.404,"(3.0, 6.6)",0,1.844,"(3.0, 7.7)",1,1.664,"(3.0, 7.4)",2,1.523,"(3.0, 7.1)",3,1.456,"(3.0, 6.9)",4,1.404,"(3.0, 6.6)",5,1.414,"(3.0, 6.3)",6,1.456,"(3.0, 6.1)",7,1.565,"(3.0, 5.8)",8,1.72,"(3.0, 5.5)",9,1.844,"(3.0, 5.3)"
C,D,E,"[4.6, 7.6]","[-74, -65, -67, -61, -74, -49]",9,3.312,"(3.0, 4.7)",0,5.536,"(3.0, 2.3)",1,5.25,"(3.0, 2.6)",2,4.965,"(3.0, 2.9)",3,4.776,"(3.0, 3.1)",4,4.494,"(3.0, 3.4)",5,4.215,"(3.0, 3.7)",6,4.031,"(3.0, 3.9)",7,3.758,"(3.0, 4.2)",8,3.489,"(3.0, 4.5)",9,3.312,"(3.0, 4.7)"
B,E,A,"[1.3, 6.9]","[-76, -70, -78, -48, -57, -68]",5,1.565,"(2.0, 8.3)",0,1.879,"(3.0, 7.7)",1,1.749,"(2.8, 7.8)",2,1.64,"(2.6, 7.9)",3,1.628,"(2.4, 8.1)",4,1.581,"(2.2, 8.2)",5,1.565,"(2.0, 8.3)",6,1.676,"(1.8, 8.5)",7,1.726,"(1.6, 8.6)",8,1.803,"(1.4, 8.7)",9,2.002,"(1.2, 8.9)"
E,C,A,"[3.9, 1.9]","[-64, -61, -81, -64, -82, -66]",0,3.801,"(1.7, 5.0)",0,3.801,"(1.7, 5.0)",1,4.188,"(1.6, 5.4)",2,4.579,"(1.5, 5.8)",3,4.924,"(1.5, 6.2)",4,5.324,"(1.4, 6.6)",5,5.725,"(1.3, 7.0)",6,6.084,"(1.3, 7.4)",7,6.488,"(1.2, 7.8)",8,6.894,"(1.1, 8.2)",9,7.262,"(1.1, 8.6)"
B,E,A,"[3.2, 7.7]","[-73, -63, -80, -60, -53, -58]",0,0.2,"(3.0, 7.7)",0,0.2,"(3.0, 7.7)",1,0.412,"(2.8, 7.8)",2,0.632,"(2.6, 7.9)",3,0.894,"(2.4, 8.1)",4,1.118,"(2.2, 8.2)",5,1.342,"(2.0, 8.3)",6,1.612,"(1.8, 8.5)",7,1.836,"(1.6, 8.6)",8,2.059,"(1.4, 8.7)",9,2.332,"(1.2, 8.9)"
E,C,D,"[2.3, 3.8]","[-62, -47, -65, -66, -83, -66]",0,1.655,"(3.0, 2.3)",0,1.655,"(3.0, 2.3)",1,1.836,"(3.2, 2.2)",2,2.025,"(3.4, 2.1)",3,2.302,"(3.6, 1.9)",4,2.5,"(3.8, 1.8)",5,2.702,"(4.0, 1.7)",6,2.983,"(4.2, 1.5)",7,3.189,"(4.4, 1.4)",8,3.397,"(4.6, 1.3)",9,3.68,"(4.8, 1.1)"
B,E,A,"[1.3, 6.9]","[-78, -67, -77, -48, -58, -66]",5,1.565,"(2.0, 8.3)",0,1.879,"(3.0, 7.7)",1,1.749,"(2.8, 7.8)",2,1.64,"(2.6, 7.9)",3,1.628,"(2.4, 8.1)",4,1.581,"(2.2, 8.2)",5,1.565,"(2.0, 8.3)",6,1.676,"(1.8, 8.5)",7,1.726,"(1.6, 8.6)",8,1.803,"(1.4, 8.7)",9,2.002,"(1.2, 8.9)"
B,D,E,"[4.6, 7.6]","[-74, -65, -66, -60, -72, -49]",0,2.617,"(4.3, 5.0)",0,2.617,"(4.3, 5.0)",1,2.631,"(4.2, 5.0)",2,2.648,"(4.1, 5.0)",3,2.693,"(3.9, 5.0)",4,2.72,"(3.8, 5.0)",5,2.751,"(3.7, 5.0)",6,2.823,"(3.5, 5.0)",7,2.864,"(3.4, 5.0)",8,2.907,"(3.3, 5.0)",9,3.002,"(3.1, 5.0)"
D,B,E,"[4.9, 5]","[-80, -78, -65, -56, -74, -53]",0,0.6,"(4.3, 5.0)",0,0.6,"(4.3, 5.0)",1,0.7,"(4.2, 5.0)",2,0.8,"(4.1, 5.0)",3,1,"(3.9, 5.0)",4,1.1,"(3.8, 5.0)",5,1.2,"(3.7, 5.0)",6,1.4,"(3.5, 5.0)",7,1.5,"(3.4, 5.0)",8,1.6,"(3.3, 5.0)",9,1.8,"(3.1, 5.0)"
